frame,dylan_full,dylan_part,destiny_full,destiny_part_left,destiny_part_right,haz_full,haz_part,hinkle_full,hinkle_part,moderator_full,moderator_part
12120,"[25, 23, 21]","[20, 18, 37]","[23, 24, 27]","[33, 34, 32]","[25, 27, 29]","[27, 23, 25]","[24, 24, 26]","[31, 31, 29]","[28, 26, 30]","[208, 224, 141]","[213, 229, 157]"
12240,"[27, 22, 26]","[58, 38, 75]","[24, 24, 28]","[33, 33, 32]","[88, 97, 60]","[241, 251, 163]","[241, 251, 163]","[31, 31, 29]","[28, 26, 30]","[25, 25, 26]","[30, 43, 52]"
12360,"[29, 21, 25]","[71, 51, 84]","[25, 23, 28]","[35, 34, 35]","[93, 97, 63]","[245, 249, 161]","[246, 250, 160]","[29, 29, 31]","[28, 27, 29]","[24, 24, 26]","[32, 43, 52]"
12480,"[28, 21, 23]","[17, 18, 44]","[25, 24, 28]","[35, 34, 36]","[96, 99, 67]","[245, 250, 161]","[247, 250, 163]","[29, 29, 31]","[29, 28, 30]","[24, 24, 26]","[67, 70, 81]"
12600,"[25, 23, 21]","[19, 19, 34]","[24, 24, 26]","[35, 33, 35]","[93, 99, 66]","[248, 251, 167]","[248, 251, 168]","[29, 29, 32]","[27, 25, 29]","[24, 24, 24]","[29, 40, 51]"
12720,"[25, 23, 21]","[21, 20, 35]","[24, 24, 27]","[35, 33, 35]","[91, 99, 64]","[248, 251, 167]","[248, 251, 168]","[29, 29, 32]","[28, 26, 30]","[24, 24, 24]","[66, 69, 72]"
12840,"[25, 23, 21]","[20, 19, 34]","[24, 24, 27]","[24, 24, 26]","[92, 99, 64]","[248, 251, 167]","[248, 251, 168]","[29, 29, 32]","[29, 27, 31]","[24, 24, 24]","[30, 40, 49]"
12960,"[28, 23, 23]","[19, 19, 36]","[23, 23, 26]","[27, 26, 29]","[88, 99, 63]","[246, 251, 164]","[248, 251, 165]","[31, 31, 32]","[30, 23, 26]","[25, 24, 27]","[17, 26, 33]"
13080,"[28, 23, 23]","[20, 20, 34]","[23, 23, 26]","[35, 34, 34]","[88, 99, 63]","[243, 251, 164]","[247, 251, 165]","[31, 31, 32]","[30, 25, 27]","[25, 25, 27]","[27, 32, 43]"
13200,"[28, 22, 21]","[20, 19, 33]","[24, 24, 28]","[35, 33, 34]","[92, 96, 66]","[244, 251, 162]","[248, 250, 161]","[30, 29, 33]","[33, 26, 22]","[25, 24, 26]","[34, 39, 49]"
